player,rank,peak_points
Ice On Deck,1,1838
Epoqua,11,1482
Z.A.M.,12,1412
sacred,13,1381
Starmiedx,20,1265
dashsix,21,1191
Deus Ex (Slot) Machina,22,1177
shoobopper,25,1050
Bean,26,1009
FruitPunchSamurai,27,1004
:) | Wingnut,28,998
Pickleboy | dillpickleboy,29,960
Miker2112,33,674
