player,rank,points,semester
toph,11,1414,Fall 2022
MoralAtheist,12,1408,Fall 2022
Pocket,13,1378,Fall 2022
KevinJSI,14,1342,Fall 2022
Tempo,15,1255,Fall 2022
ChunkyMonkey,16,1240,Fall 2022
AlteredBeast,17,1013,Fall 2022
dashsix,18,1003,Fall 2022
Wil,19,980,Fall 2022
Bergen | Zote,20,976,Fall 2022
bubbyloaf,21,975,Fall 2022
Doctor | Slim D. Jim,22,832,Fall 2022
Sx,23,722,Fall 2022
Warioman,24,691,Fall 2022
Ice On Deck,1,1838,Spring 2023
xavier,2,1833,Spring 2023
Stevebr0,3,1769,Spring 2023
Secret,4,1740,Spring 2023
FZP | EO,5,1710,Spring 2023
TC | flackito,6,1677,Spring 2023
FBG | mrguy321,7,1658,Spring 2023
Menchu,8,1640,Spring 2023
$Krilldog$,9,1577,Spring 2023
Bjr,10,1486,Spring 2023
Epoqua,11,1482,Spring 2023
Z.A.M.,12,1412,Spring 2023
sacred,13,1381,Spring 2023
koala cub,14,1380,Spring 2023
Pocket,15,1378,Spring 2023
KevinJSI,16,1370,Spring 2023
Blob,17,1344,Spring 2023
Tempo,18,1312,Spring 2023
AlteredBeast,19,1281,Spring 2023
Starmiedx,20,1265,Spring 2023
dashsix,21,1191,Spring 2023
Deus Ex (Slot) Machina,22,1177,Spring 2023
toph,23,1176,Spring 2023
Flavor,24,1093,Spring 2023
shoobopper,25,1050,Spring 2023
Bean,26,1009,Spring 2023
FruitPunchSamurai,27,1004,Spring 2023
:) | Wingnut,28,998,Spring 2023
Pickleboy | dillpickleboy,29,960,Spring 2023
traitorjoe,30,856,Spring 2023
Pollen,31,779,Spring 2023
Sx,32,686,Spring 2023
Miker2112,33,674,Spring 2023
Warioman,34,618,Spring 2023
