Rank,Player,Points,Country,Characters
1,"Stevebr0",1882,"","Falco - Toon Link - Lucina"
2,"xavier",1854,"","Mario - Pit - Donkey Kong - Piranha Plant - Duck Hunt"
3,"FBG | mrguy321",1669,"","Mii Gunner - Dr Mario"
4,"TC | flackito",1649,"","Terry - Kazuya - Sonic"
5,"toph",1607,"","Ness - Incineroar"
6,"KevinJSI",1462,"","Byleth - Pyra / Mythra"
7,"Barry mc",1426,"","Diddy Kong"
8,"Pocket",1422,"","Sora"
9,"Momo",1421,"","Pyra / Mythra - Zelda"
10,"Cool",1417,"","Rob - Snake"
11,"Fecht",1394,"","Zelda - Kirby - Hero"
12,"h",1365,"","Little Mac - Kirby - Piranha Plant"
13,"AlteredBeast",1348,"","Wolf - Terry - Pyra / Mythra"
14,"Crystal D",1294,"","Bowser - Dark Samus"
15,"Youssef",1188,"","Mr Game And Watch - Jigglypuff - Dr Mario"
16,"Doctor | Slim D. Jim",1156,"","Sora - Bowser Jr"
17,"Swickalicious",1094,"","Cloud"
18,"Pollen",842,"","Fox"
19,"Warioman",781,"","Wario"
20,"Wil",773,"","Captain Falcon"
