Rank,Player,Points,Country,Characters
1,"SJ | Strawhat",2130,"","Young Link - Toon Link"
2,"Skies",1874,"","Bowser - Wolf - Roy"
3,"Secret",1812,"","Shulk - Snake"
4,"Bizelion",1677,"","Zelda"
5,"Stevebr0",1585,"","Falco - Toon Link - Lucina"
6,"Lemonpepsi",1563,"","Inkling - Captain Falcon - Cloud - Fox - Jigglypuff"
7,"Cool",1556,"","Rob - Snake"
8,"Levin~",1546,"","Robin"
9,"Vegeta",1507,"","Palutena - Fox"
10,"Venture",1476,"","Link"
11,"GaryOnHisBS",1468,"","Joker - Hero - Wolf - Pit - Chrom - Incineroar - Random"
12,"MoralAtheist",1468,"","Link - Pyra / Mythra"
13,"Blob",1445,"","Wii Fit Trainer"
14,"Evanem",1443,"","Ken - Ryu"
15,"traitorjoe",1393,"","Incineroar - Wario"
16,"Mendez",1379,"","Joker - Mario"
17,"Swickalicious",1356,"","Cloud"
18,"Yoshistar",1304,"","Yoshi - Inkling - Isabelle - Incineroar"
19,"FBG | mrguy321",1249,"","Mii Gunner - Dr Mario"
20,"Dougdimmadome",1225,"","Piranha Plant"
21,"Double",1202,"","Hero"
22,"Luke Snywalker",1169,"","Link"
23,"cobaly",1142,"","Mega Man - Lucario"
24,"Ayds",1059,"","Sonic - Cloud"
25,"Supreme",1011,"","Captain Falcon - Lucina"
26,"Sinbad ",1006,"","Yoshi"
27,"ewisko",999,"","Lucas"
28,"FDNC | Bernie Sanders",965,"","Lucas - Wario"
29,"Flavor",948,"","Piranha Plant"
30,"Jio NExuS",918,"","Pyra / Mythra"
31,"LS | Scardone",893,"","Inkling - Little Mac"
32,"Chriso",728,"","Bayonetta - Greninja"
33,"AlteredBeast",678,"","Wolf - Terry - Pyra / Mythra"
34,"Warioman",639,"","Wario"
35,"Bhaijan",618,"",""
