Rank,Player,Points,Country,Characters
1,"xavier",2007,"","Mario - Pit - Donkey Kong - Piranha Plant - Duck Hunt"
2,"FZP | EO",1810,"","Bowser"
3,"Stevebr0",1784,"","Falco - Toon Link - Lucina"
4,"FBG | mrguy321",1714,"","Mii Gunner - Dr Mario"
5,"TC | flackito",1711,"","Terry - Kazuya - Sonic"
6,"Menchu",1677,"","Dr Mario"
7,"Venture",1600,"","Link"
8,"Bjr",1584,"","King K Rool - Donkey Kong"
9,"koala cub",1545,"","Palutena"
10,"Flavor",1501,"","Piranha Plant"
11,"toph",1414,"","Ness - Incineroar"
12,"MoralAtheist",1408,"","Link - Pyra / Mythra"
13,"Pocket",1378,"","Sora"
14,"KevinJSI",1342,"","Byleth - Pyra / Mythra"
15,"Tempo",1255,"","Ken"
16,"ChunkyMonkey",1240,"","Dr Mario - King Dedede"
17,"AlteredBeast",1013,"","Wolf - Terry - Pyra / Mythra"
18,"dashsix",1003,"","Toon Link - Cloud"
19,"Wil",980,"","Captain Falcon"
20,"Bergen | Zote",976,"",""
21,"bubbyloaf",975,"","Lucas - Ness"
22,"Doctor | Slim D. Jim",832,"","Sora - Bowser Jr"
23,"Sx",722,"",""
24,"Warioman",691,"","Wario"
