Rank,Player,Points,Country,Characters
1,"xavier",2002,"","Mario - Pit - Donkey Kong - Piranha Plant - Duck Hunt"
2,"Stevebr0",1906,"","Falco - Toon Link - Lucina"
3,"TC | flackito",1730,"","Terry - Kazuya - Sonic"
4,"FBG | mrguy321",1720,"","Mii Gunner - Dr Mario"
5,"toph",1687,"","Ness - Incineroar"
6,"Caw",1667,"","Bowser - Random - Mii Brawler"
7,"Ferret",1583,"","Ridley - Incineroar"
8,"Momo",1582,"","Pyra / Mythra - Zelda"
9,"traitorjoe",1444,"","Incineroar - Wario"
10,"bubbyloaf",1417,"","Lucas - Ness"
11,"AlteredBeast",1385,"","Wolf - Terry - Pyra / Mythra"
12,"Swickalicious",1372,"","Cloud"
13,"h",1351,"","Little Mac - Kirby - Piranha Plant"
14,"KevinJSI",1318,"","Byleth - Pyra / Mythra"
15,"Pocket",1295,"","Sora"
16,"Crystal D",1218,"","Bowser - Dark Samus"
17,"Jio NExuS",1135,"","Pyra / Mythra"
18,"Gamer Pavillion | EromangaFan",1128,"","Donkey Kong"
19,"Doctor | Slim D. Jim",1126,"","Sora - Bowser Jr"
20,"Just_Dan",946,"",""
21,"Gangadiddle",858,"",""
22,"Wil",802,"","Captain Falcon"
23,"Warioman",727,"","Wario"
24,"Toad",722,"",""
